wals code	name	value	description	latitude	longitude	genus	family	area
otm	Otomí (Mezquital)	1	No case marking	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Morphology
pms	Paamese	1	No case marking	-16.5	168.25	Oceanic	Austronesian	Morphology
pai	Paiwan	4	No syncretism	22.5	120.833333333	Paiwan	Austronesian	Morphology
psm	Passamaquoddy-Maliseet	1	No case marking	45.0	-67.0	Algonquian	Algic	Morphology
pau	Paumarí	2	Core cases only	-6.0	-64.0	Arauan	Arauan	Morphology
prs	Persian	1	No case marking	32.0	54.0	Iranian	Indo-European	Morphology
prh	Pirahã	1	No case marking	-7.0	-62.0	Mura	Mura	Morphology
pit	Pitjantjatjara	2	Core cases only	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Morphology
pso	Pomo (Southeastern)	4	No syncretism	39.0	-122.5	Pomoan	Hokan	Morphology
qaw	Qawasqar	1	No case marking	-49.0	-75.0	Alacalufan	Alacalufan	Morphology
qim	Quechua (Imbabura)	4	No syncretism	0.333333333333	-78.0	Quechuan	Quechuan	Morphology
ram	Rama	1	No case marking	11.75	-83.75	Rama	Chibchan	Morphology
rap	Rapanui	1	No case marking	-27.1166666667	-109.366666667	Oceanic	Austronesian	Morphology
rus	Russian	3	Core and non-core	56.0	38.0	Slavic	Indo-European	Morphology
san	Sango	1	No case marking	5.0	18.0	Ubangi	Niger-Congo	Morphology
snm	Sanuma	1	No case marking	4.5	-64.6666666667	Yanomam	Yanomam	Morphology
sel	Selknam	1	No case marking	-53.0	-70.0	Chonan Proper	Chonan	Morphology
snt	Sentani	1	No case marking	-2.58333333333	140.583333333	Sentanic	Sentanic	Morphology
shk	Shipibo-Konibo	1	No case marking	-7.5	-75.0	Panoan	Pano-Tacanan	Morphology
sla	Slave	1	No case marking	67.0	-125.0	Athapaskan	Na-Dene	Morphology
spa	Spanish	3	Core and non-core	40.0	-4.0	Romance	Indo-European	Morphology
squ	Squamish	1	No case marking	49.6666666667	-123.166666667	Central Salish	Salishan	Morphology
sue	Suena	2	Core cases only	-7.75	147.55	Binanderean	Trans-New Guinea	Morphology
sup	Supyire	1	No case marking	11.5	-5.58333333333	Senufo	Niger-Congo	Morphology
swa	Swahili	1	No case marking	-6.5	39.0	Bantu	Niger-Congo	Morphology
tab	Taba	1	No case marking	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Morphology
tag	Tagalog	1	No case marking	15.0	121.0	Greater Central Philippine	Austronesian	Morphology
tha	Thai	1	No case marking	16.0	101.0	Kam-Tai	Tai-Kadai	Morphology
tiw	Tiwi	1	No case marking	-11.5	131.0	Tiwian	Tiwian	Morphology
tli	Tlingit	1	No case marking	59.0	-135.0	Tlingit	Na-Dene	Morphology
tru	Trumai	4	No syncretism	-11.9166666667	-53.5833333333	Trumai	Trumai	Morphology
tsi	Tsimshian (Coast)	1	No case marking	52.5	-129.0	Tsimshianic	Tsimshianic	Morphology
tuk	Tukang Besi	1	No case marking	-5.5	123.5	Celebic	Austronesian	Morphology
tun	Tunica	1	No case marking	32.6666666667	-91.0	Tunica	Tunica	Morphology
tur	Turkish	4	No syncretism	39.0	35.0	Turkic	Altaic	Morphology
una	Una	4	No syncretism	-4.66666666667	140.0	Mek	Trans-New Guinea	Morphology
ung	Ungarinjin	1	No case marking	-16.3333333333	126.0	Worrorran	Worrorran	Morphology
urk	Urubú-Kaapor	1	No case marking	-2.33333333333	-46.5	Maweti-Guarani	Tupian	Morphology
usa	Usan	1	No case marking	-4.83333333333	145.166666667	North Adelbert	Trans-New Guinea	Morphology
vie	Vietnamese	1	No case marking	10.5	106.5	Vietic	Austro-Asiatic	Morphology
wam	Wambaya	2	Core cases only	-18.6666666667	135.75	Wambayan	Mirndi	Morphology
